id,name,x,y
0,Node 1,-105,-20
1,Node 2,-441,30
2,Node 3,-252,-60
3,Node 4,-236,-237
4,Node 5,72,110
5,Node 6,345,164
6,Node 7,-51,143
7,Node 8,-304,42
8,Node 9,360,-231
9,Node 10,247,110
10,Node 11,-341,-193
11,Node 12,-387,116
12,Node 13,-499,219
13,Node 14,196,-1
14,Node 15,532,-192
15,Node 16,400,-16
16,Node 17,61,-153
17,Node 18,174,98
18,Node 19,107,57
19,Node 20,-344,283
20,Node 21,-42,22
21,Node 22,-279,-160
22,Node 23,-406,-10
23,Node 24,-109,216
24,Node 25,-57,-131
25,Node 26,293,-247
26,Node 27,-309,-261
27,Node 28,-225,153
28,Node 29,-187,-12
29,Node 30,278,-156
30,Node 31,-292,202
31,Node 32,-507,-62
32,Node 33,537,-256
33,Node 34,-275,-11
34,Node 35,346,101
35,Node 36,408,-91
36,Node 37,-234,39
37,Node 38,221,-200
38,Node 39,-324,-61
39,Node 40,183,232
40,Node 41,-194,-195
41,Node 42,-421,-69
42,Node 43,313,-6
43,Node 44,-158,185
44,Node 45,-7,-70
45,Node 46,410,216
46,Node 47,196,-135
47,Node 48,-217,-133
48,Node 49,-478,168
49,Node 50,272,285
50,Node 51,76,246
51,Node 52,399,-196
52,Node 53,137,-53
53,Node 54,421,-285
54,Node 55,-380,-247
55,Node 56,-41,209
56,Node 57,204,153
57,Node 58,490,158
58,Node 59,-50,80
59,Node 60,-459,-179
60,Node 61,440,-165
61,Node 62,334,-182
62,Node 63,454,265
63,Node 64,181,-244
64,Node 65,-454,259
65,Node 66,140,264
66,Node 67,251,34
67,Node 68,-134,268
68,Node 69,28,9
69,Node 70,-497,17
70,Node 71,515,-22
71,Node 72,-405,181
72,Node 73,125,-216
73,Node 74,398,109
74,Node 75,-353,232
75,Node 76,-200,-69
76,Node 77,-305,141
77,Node 78,-123,-185
78,Node 79,339,-102
79,Node 80,-517,-130
80,Node 81,99,-99
81,Node 82,3,140
82,Node 83,521,30
83,Node 84,-110,-244
84,Node 85,263,-49
85,Node 86,-215,285
86,Node 87,492,223
87,Node 88,124,132
88,Node 89,-28,268
89,Node 90,225,-85
90,Node 91,14,228
91,Node 92,-399,-148
92,Node 93,-100,95
93,Node 94,390,282
94,Node 95,39,-218
95,Node 96,-32,-217
96,Node 97,-292,-103
97,Node 98,-534,103
98,Node 99,352,46
99,Node 100,329,-290
100,Node 101,301,208
101,Node 102,142,-127
102,Node 103,-139,-132
103,Node 104,-156,101
104,Node 105,-507,-217
105,Node 106,-287,263
106,Node 107,505,-119
107,Node 108,-347,6
108,Node 109,458,-22
109,Node 110,74,-34
110,Node 111,-441,-284
111,Node 112,-441,125
112,Node 113,10,-153
113,Node 114,264,160
114,Node 115,479,-282
115,Node 116,409,47
116,Node 117,-537,271
117,Node 118,87,-288
118,Node 119,-194,236
119,Node 120,-468,-115
120,Node 121,-164,49
121,Node 122,514,85
122,Node 123,224,-287
123,Node 124,359,230
124,Node 125,240,231
125,Node 126,202,53
126,Node 127,464,79
127,Node 128,-367,69
128,Node 129,107,196
129,Node 130,-104,151
130,Node 131,-357,-111
131,Node 132,-173,-246
132,Node 133,450,-224
133,Node 134,-45,-31
134,Node 135,-538,165
135,Node 136,-290,91
136,Node 137,158,-178
137,Node 138,-57,-287
138,Node 139,25,64
139,Node 140,0,-265
140,Node 141,532,278
141,Node 142,-81,259
142,Node 143,49,-93
143,Node 144,-535,-272
144,Node 145,-213,-289
145,Node 146,-474,86
146,Node 147,432,151
147,Node 148,-344,180
148,Node 149,-150,-47
149,Node 150,341,-49
