source,destination,road
0,148,131
0,133,88
0,20,78
0,28,68
0,120,170
0,75,161
1,22,66
1,69,112
1,145,157
1,127,80
1,111,160
1,107,158
2,75,65
2,33,68
2,96,53
2,38,75
2,28,135
2,47,92
3,144,174
3,40,176
3,131,118
3,26,187
3,21,82
3,47,193
4,87,71
4,18,101
4,138,109
4,81,109
4,128,55
4,17,100
5,100,122
5,34,193
5,123,136
5,73,82
5,113,150
5,45,51
6,129,66
6,81,53
6,58,130
6,55,196
6,92,166
6,23,127
7,135,141
7,107,69
7,33,88
7,127,195
7,36,64
7,76,160
8,51,117
8,61,190
8,99,127
8,25,71
8,53,166
8,132,189
9,113,181
9,56,125
9,125,56
9,17,191
9,66,112
9,34,139
10,54,78
10,21,102
10,91,166
10,26,128
10,130,198
10,96,100
11,127,139
11,111,69
11,71,179
11,147,177
11,76,63
12,48,133
12,64,64
12,116,191
12,134,143
12,71,108
12,111,161
13,125,135
13,66,191
13,52,100
13,84,166
13,89,151
13,17,158
14,32,97
14,106,72
14,132,90
14,60,147
14,114,112
14,51,133
15,108,172
15,115,70
15,149,99
15,35,199
15,98,160
15,42,196
16,112,132
16,142,60
16,80,99
16,94,192
16,101,68
16,72,133
18,138,55
18,68,183
19,74,60
19,105,66
19,30,150
19,147,63
19,64,87
19,71,175
20,133,105
20,68,179
20,138,114
21,47,124
22,41,92
22,69,142
23,141,178
23,67,150
23,55,182
24,112,109
24,44,64
24,102,168
24,77,52
24,95,100
24,133,68
25,61,192
25,37,172
25,29,116
26,54,160
27,43,176
27,76,155
27,30,65
27,103,88
27,118,145
27,135,60
29,61,163
29,78,146
31,119,144
31,79,83
31,69,82
31,41,84
32,114,199
35,78,153
35,149,153
36,33,111
36,28,129
37,46,151
38,33,102
38,107,52
39,65,131
39,124,161
39,56,170
39,128,84
39,49,121
39,50,153
40,131,130
40,77,155
41,119,101
42,98,112
42,66,58
43,129,106
43,103,197
44,142,176
44,112,166
44,109,114
45,146,58
45,86,191
46,89,182
46,37,63
48,134,193
48,145,161
48,97,189
49,124,168
49,100,183
49,123,114
49,93,74
49,113,185
50,65,61
50,88,66
51,60,161
52,109,68
52,142,197
53,99,56
54,91,97
54,59,75
54,104,61
55,81,70
57,146,164
57,86,190
57,121,110
57,126,159
57,73,52
58,92,109
59,119,181
59,91,183
60,106,97
62,86,103
62,93,167
62,140,120
62,123,156
63,122,186
63,72,126
63,136,155
63,117,162
63,46,142
64,19,141
67,141,63
67,88,134
68,133,160
69,145,116
70,82,99
70,108,190
70,106,181
70,121,173
70,126,164
73,34,157
74,71,196
80,101,128
83,77,171
83,131,77
83,137,130
83,95,61
83,139,165
84,89,186
85,118,188
85,105,120
85,30,51
87,17,185
87,56,73
90,88,137
90,81,194
90,128,136
90,141,175
92,129,67
94,139,149
94,95,116
94,112,181
97,134,158
98,115,145
99,122,66
101,136,82
101,72,95
102,148,156
102,75,160
103,120,109
104,79,119
104,119,178
109,52,190
110,104,57
110,143,139
114,132,128
115,108,195
117,72,66
117,139,83
120,103,53
121,82,136
130,96,88
134,116,126
137,131,143
140,86,84
143,79,52
146,45,89
