id,name,x,y
0,Node 1,99,-139
1,Node 2,-345,144
2,Node 3,-94,217
3,Node 4,240,-9
4,Node 5,-502,42
5,Node 6,3,43
6,Node 7,200,-265
7,Node 8,-199,-207
8,Node 9,264,287
9,Node 10,-198,287
10,Node 11,-273,-281
11,Node 12,-497,230
12,Node 13,361,-206
13,Node 14,-342,-69
14,Node 15,100,-77
15,Node 16,511,-71
16,Node 17,331,-263
17,Node 18,175,-124
18,Node 19,386,-167
19,Node 20,-261,258
20,Node 21,446,-239
21,Node 22,-205,230
22,Node 23,34,12
23,Node 24,243,-112
24,Node 25,300,-32
25,Node 26,387,178
26,Node 27,323,-118
27,Node 28,-398,49
28,Node 29,51,74
29,Node 30,-356,39
30,Node 31,-236,-30
31,Node 32,-535,7
32,Node 33,247,38
33,Node 34,267,-250
34,Node 35,-451,152
35,Node 36,386,3
36,Node 37,334,124
37,Node 38,-457,10
38,Node 39,-97,32
39,Node 40,-328,103
40,Node 41,-260,194
41,Node 42,233,99
42,Node 43,-373,-263
43,Node 44,165,-169
44,Node 45,391,117
45,Node 46,440,-113
46,Node 47,-33,231
47,Node 48,488,54
48,Node 49,288,155
49,Node 50,-131,-207
50,Node 51,332,-169
51,Node 52,-322,240
52,Node 53,243,204
53,Node 54,-150,-140
54,Node 55,-78,283
55,Node 56,-59,86
56,Node 57,521,17
57,Node 58,-55,-198
58,Node 59,82,-187
59,Node 60,-471,-197
60,Node 61,-58,-54
61,Node 62,125,52
62,Node 63,-378,-3
63,Node 64,356,212
64,Node 65,-213,49
65,Node 66,392,263
66,Node 67,99,-267
67,Node 68,-353,-206
68,Node 69,139,118
69,Node 70,-501,98
70,Node 71,-447,-58
71,Node 72,538,109
72,Node 73,-193,183
73,Node 74,-381,121
74,Node 75,-446,266
75,Node 76,-420,-6
76,Node 77,-525,-152
77,Node 78,-245,-240
78,Node 79,-284,-54
79,Node 80,172,-56
80,Node 81,-361,-149
81,Node 82,-2,-163
82,Node 83,-159,271
83,Node 84,-432,-273
84,Node 85,101,228
85,Node 86,393,-63
86,Node 87,-85,-262
87,Node 88,-501,-113
88,Node 89,25,-262
89,Node 90,523,-260
90,Node 91,381,61
91,Node 92,452,155
92,Node 93,-260,146
93,Node 94,-128,-268
94,Node 95,-527,276
95,Node 96,-102,-97
96,Node 97,-482,-36
97,Node 98,519,246
98,Node 99,-178,-102
99,Node 100,530,173
100,Node 101,169,24
101,Node 102,-118,120
102,Node 103,-383,-105
103,Node 104,279,-206
104,Node 105,-253,90
105,Node 106,-175,-40
106,Node 107,-398,-185
107,Node 108,304,199
108,Node 109,-303,-194
109,Node 110,-229,-87
110,Node 111,-401,230
111,Node 112,-306,-9
112,Node 113,-55,-136
113,Node 114,285,112
114,Node 115,62,142
115,Node 116,518,-163
116,Node 117,-316,-252
117,Node 118,-506,156
118,Node 119,221,-75
119,Node 120,-152,12
120,Node 121,220,-225
121,Node 122,503,287
122,Node 123,21,285
123,Node 124,24,222
124,Node 125,15,125
125,Node 126,-317,185
126,Node 127,159,253
127,Node 128,108,147
128,Node 129,83,103
129,Node 130,83,-38
130,Node 131,478,15
131,Node 132,201,130
132,Node 133,-374,187
133,Node 134,-24,179
134,Node 135,199,191
135,Node 136,41,-76
136,Node 137,-435,94
137,Node 138,133,-39
138,Node 139,467,-281
139,Node 140,450,92
140,Node 141,-430,199
141,Node 142,47,-138
142,Node 143,-241,-184
143,Node 144,-446,-231
144,Node 145,-18,92
145,Node 146,-206,115
146,Node 147,-41,24
147,Node 148,421,203
148,Node 149,-516,-266
149,Node 150,469,-148
150,Node 151,334,29
151,Node 152,-370,282
152,Node 153,-481,-286
153,Node 154,-111,-18
154,Node 155,501,-201
155,Node 156,-98,168
156,Node 157,-254,37
157,Node 158,481,-33
158,Node 159,-529,-46
159,Node 160,482,124
160,Node 161,158,-289
161,Node 162,477,227
162,Node 163,-537,-227
163,Node 164,-289,-103
164,Node 165,-453,-110
165,Node 166,427,287
166,Node 167,-300,43
167,Node 168,-492,-232
168,Node 169,318,-223
169,Node 170,127,-232
170,Node 171,-459,50
171,Node 172,-52,127
172,Node 173,367,-112
173,Node 174,440,47
174,Node 175,348,-25
175,Node 176,152,195
176,Node 177,-147,74
177,Node 178,-18,-289
178,Node 179,293,-281
179,Node 180,-13,-51
180,Node 181,290,-153
181,Node 182,-186,-159
182,Node 183,29,175
183,Node 184,202,285
184,Node 185,-248,-126
185,Node 186,127,2
186,Node 187,-212,-288
187,Node 188,-142,204
188,Node 189,-139,-61
189,Node 190,201,241
190,Node 191,-31,-249
191,Node 192,173,74
192,Node 193,-318,-131
193,Node 194,144,-95
194,Node 195,303,-83
195,Node 196,-384,-57
196,Node 197,396,-248
197,Node 198,-414,-133
198,Node 199,-108,-143
199,Node 200,334,167
