source,destination,road
0,58,132
0,141,88
0,14,162
0,193,96
0,43,156
0,17,111
1,73,155
1,39,160
1,125,144
1,132,101
1,92,126
1,40,164
2,155,176
2,187,59
2,46,149
2,54,112
2,133,149
2,82,70
3,32,184
3,24,70
3,118,63
3,100,170
3,79,183
3,194,139
4,170,78
4,31,85
4,37,93
4,69,170
4,96,112
4,136,199
5,22,177
5,146,160
5,144,188
5,28,124
5,55,86
5,124,134
6,120,188
6,160,92
6,33,57
6,169,52
6,178,137
6,103,100
7,142,175
7,181,189
7,77,86
7,49,172
7,186,82
7,53,107
8,183,87
8,189,86
8,52,89
8,107,93
8,126,181
8,134,106
9,82,123
9,21,95
9,19,184
9,187,89
9,72,64
9,40,107
10,77,148
10,116,103
10,186,183
10,108,74
10,42,180
10,142,98
11,94,189
11,74,118
11,140,200
11,117,145
11,34,84
11,110,65
12,168,190
12,18,193
12,50,51
12,196,103
12,16,170
12,103,64
13,195,133
13,102,55
13,78,52
13,163,173
13,192,129
13,111,68
14,193,83
14,137,81
14,79,200
15,157,190
15,45,120
15,149,109
15,56,82
15,130,82
15,115,107
16,178,161
16,168,119
16,33,92
16,103,67
17,43,121
17,23,168
18,45,196
18,196,98
19,51,60
19,9,88
20,138,84
20,196,135
20,154,91
20,89,91
21,40,141
22,129,148
22,146,180
22,179,169
22,135,89
23,180,125
23,26,152
24,194,109
24,26,144
25,147,167
25,63,91
25,199,164
25,44,107
25,91,183
25,36,68
26,180,92
26,50,63
27,29,72
27,62,170
27,136,104
27,75,160
27,170,189
27,37,141
29,62,129
29,111,190
30,78,68
30,109,105
30,105,108
30,156,95
30,111,90
30,64,145
31,69,52
32,113,199
32,150,50
34,117,91
34,136,113
34,69,159
35,174,88
35,150,140
35,90,90
35,85,128
35,173,64
35,130,126
36,199,128
36,113,114
36,48,114
38,153,105
38,146,124
38,119,62
38,176,147
38,55,114
38,101,120
39,73,82
41,131,67
41,113,70
41,191,83
41,48,168
41,68,104
42,116,116
42,67,89
42,143,149
42,106,180
42,108,80
43,169,106
43,58,163
44,90,186
46,133,71
46,123,87
46,182,59
47,130,184
47,173,194
47,56,141
47,139,68
47,159,55
47,71,190
48,199,109
49,93,197
49,86,169
51,151,61
51,110,174
52,134,198
52,131,127
53,198,87
53,95,166
54,122,149
55,144,88
57,190,117
57,112,51
57,81,68
57,86,148
57,198,76
58,141,167
58,81,113
59,167,177
59,143,139
59,76,133
59,162,138
59,106,195
59,148,83
60,179,133
60,95,66
60,153,114
60,146,176
60,188,63
60,112,200
61,185,159
61,100,191
61,191,133
61,128,178
61,68,150
61,28,63
62,75,59
63,65,187
63,147,152
64,176,102
64,119,77
65,165,133
65,147,92
65,161,172
66,169,198
66,160,62
66,88,104
67,108,76
67,192,154
68,131,78
70,96,124
70,164,103
70,75,145
70,195,77
70,37,174
70,87,96
71,56,96
72,40,186
72,145,161
72,92,98
73,132,79
74,110,122
74,151,191
76,87,55
76,164,106
76,158,148
80,192,97
80,102,130
80,106,95
80,197,76
81,141,175
83,143,62
83,152,66
83,167,158
83,148,96
84,175,104
84,126,100
84,123,165
84,127,83
84,182,157
84,114,131
85,172,137
85,174,125
86,93,80
88,190,198
88,81,92
89,138,96
90,44,115
91,159,94
91,139,184
93,49,102
96,31,194
97,121,165
97,161,61
97,99,110
97,165,166
98,109,144
98,188,53
98,181,149
98,105,194
98,184,183
99,71,137
99,159,62
99,161,143
99,147,77
101,155,116
101,171,86
102,195,60
103,50,50
104,156,119
104,145,167
104,92,100
104,166,111
104,39,90
105,188,80
108,142,117
109,78,79
114,182,165
114,124,153
115,154,179
115,149,178
115,89,89
118,79,56
118,193,65
119,64,71
121,97,159
122,123,149
122,54,148
124,182,178
125,40,162
127,128,59
128,127,182
129,135,138
133,171,183
133,155,67
134,175,141
134,189,128
134,126,141
135,179,191
137,79,128
138,196,128
139,91,165
148,162,103
149,45,90
151,51,128
152,148,62
157,130,194
158,87,73
163,192,168
164,76,149
165,121,128
171,101,183
172,50,136
174,150,91
177,190,77
177,93,190
180,23,166
183,8,105
184,192,96
185,129,69
186,10,67
197,195,88
