source,destination,road
0,56,40
0,104,50
0,25,19
0,44,12
1,90,36
1,96,26
1,35,33
1,115,50
2,118,18
2,48,38
2,46,32
2,20,44
3,86,11
3,105,40
3,60,38
3,62,47
4,111,38
4,33,44
4,113,37
4,40,43
5,81,48
5,116,29
5,95,23
5,114,48
6,48,24
6,7,28
6,118,26
7,30,46
8,33,20
8,9,28
8,111,48
8,11,37
9,111,27
10,82,38
10,60,48
10,106,37
10,40,21
11,118,35
12,76,17
12,36,35
12,75,26
12,55,14
13,117,36
13,100,15
13,98,18
13,70,30
14,43,22
14,108,11
14,96,43
14,65,12
15,25,14
15,94,17
15,70,17
15,76,38
16,31,48
16,84,20
16,97,31
16,102,23
17,72,20
17,29,13
17,37,45
17,61,20
18,81,11
18,22,41
18,93,35
18,116,37
19,37,13
19,94,48
19,70,14
19,117,11
20,46,28
20,101,33
21,55,13
21,36,43
21,89,50
21,59,31
23,95,19
23,24,11
23,38,47
24,95,18
25,0,44
26,27,30
26,28,48
26,54,25
26,34,44
27,86,21
27,67,16
28,54,42
29,66,16
29,61,41
30,7,34
31,58,34
32,57,21
32,34,32
34,57,50
35,90,42
38,24,19
38,68,41
39,63,48
39,116,22
39,57,31
39,32,33
41,45,14
41,71,12
41,96,41
41,112,33
42,88,23
42,113,11
42,73,12
42,40,48
43,65,11
44,104,12
44,100,39
45,96,46
47,103,48
47,92,47
47,101,24
47,53,16
49,67,23
49,61,28
49,86,13
49,78,23
50,68,14
50,99,31
50,30,29
51,59,19
51,55,27
51,87,22
51,73,19
52,119,38
52,74,17
52,97,40
52,88,38
53,85,43
53,58,45
56,44,34
58,31,20
60,10,42
62,63,34
63,62,18
64,69,11
64,78,45
64,91,39
65,61,29
65,108,30
66,108,43
66,61,17
67,27,26
69,112,42
71,112,42
71,77,25
72,37,20
72,107,49
74,52,40
77,112,11
77,91,36
77,69,37
79,103,36
79,58,39
80,110,46
80,84,40
80,83,27
82,40,20
83,92,50
83,110,39
85,53,45
85,110,19
85,92,46
87,75,13
87,55,21
88,119,14
89,73,11
89,59,12
90,96,13
91,54,40
93,81,47
98,117,32
99,30,28
100,98,43
102,74,16
102,97,42
103,79,13
106,60,39
107,94,50
107,37,27
109,48,40
109,7,37
114,82,42
114,116,21
115,35,26
118,11,33
