id,name,x,y
0,Node 1,-495,-272
1,Node 2,-476,38
2,Node 3,411,17
3,Node 4,-88,19
4,Node 5,197,-79
5,Node 6,178,167
6,Node 7,422,118
7,Node 8,483,165
8,Node 9,249,31
9,Node 10,292,-21
10,Node 11,81,55
11,Node 12,295,92
12,Node 13,-155,-279
13,Node 14,-429,-136
14,Node 15,-399,114
15,Node 16,-322,-282
16,Node 17,274,-183
17,Node 18,-243,-61
18,Node 19,116,270
19,Node 20,-320,-168
20,Node 21,506,8
21,Node 22,-100,-182
22,Node 23,46,299
23,Node 24,271,198
24,Node 25,329,175
25,Node 26,-385,-299
26,Node 27,-160,187
27,Node 28,-118,133
28,Node 29,-228,208
29,Node 30,-304,-36
30,Node 31,534,190
31,Node 32,332,-195
32,Node 33,-65,196
33,Node 34,191,17
34,Node 35,-126,264
35,Node 36,-526,-21
36,Node 37,-148,-213
37,Node 38,-273,-126
38,Node 39,329,279
39,Node 40,32,198
40,Node 41,101,-35
41,Node 42,-543,239
42,Node 43,45,-109
43,Node 44,-349,138
44,Node 45,-534,-157
45,Node 46,-446,198
46,Node 47,468,-41
47,Node 48,530,-170
48,Node 49,460,54
49,Node 50,-212,53
50,Node 51,483,287
51,Node 52,2,-220
52,Node 53,110,-257
53,Node 54,452,-227
54,Node 55,-179,263
55,Node 56,-66,-227
56,Node 57,-536,-231
57,Node 58,-29,267
58,Node 59,372,-276
59,Node 60,-27,-178
60,Node 61,-7,46
61,Node 62,-286,35
62,Node 63,-26,105
63,Node 64,16,142
64,Node 65,-279,208
65,Node 66,-315,83
66,Node 67,-351,-15
67,Node 68,-192,102
68,Node 69,456,236
69,Node 70,-348,191
70,Node 71,-386,-216
71,Node 72,-440,282
72,Node 73,-194,-71
73,Node 74,-17,-124
74,Node 75,169,-288
75,Node 76,-86,-291
76,Node 77,-218,-287
77,Node 78,-328,296
78,Node 79,-233,143
79,Node 80,485,-275
80,Node 81,361,-69
81,Node 82,158,214
82,Node 83,133,13
83,Node 84,440,-93
84,Node 85,330,-123
85,Node 86,414,-178
86,Node 87,-124,61
87,Node 88,-4,-297
88,Node 89,76,-154
89,Node 90,-79,-117
90,Node 91,-535,59
91,Node 92,-232,290
92,Node 93,473,-135
93,Node 94,198,272
94,Node 95,-269,-207
95,Node 96,244,145
96,Node 97,-481,112
97,Node 98,189,-196
98,Node 99,-417,-63
99,Node 100,533,241
100,Node 101,-479,-104
101,Node 102,528,-83
102,Node 103,250,-272
103,Node 104,535,-230
104,Node 105,-500,-195
105,Node 106,-116,-61
106,Node 107,23,-14
107,Node 108,-215,-166
108,Node 109,-390,52
109,Node 110,542,57
110,Node 111,383,-120
111,Node 112,226,-38
112,Node 113,-377,266
113,Node 114,102,-101
114,Node 115,168,91
115,Node 116,-475,-46
116,Node 117,112,164
117,Node 118,-381,-112
118,Node 119,359,40
119,Node 120,107,-205
