source,destination,road
0,49,5
0,20,8
0,33,10
0,3,5
1,59,10
1,65,5
1,60,10
1,71,10
2,79,7
2,21,8
2,64,7
2,38,7
3,20,5
3,71,10
4,13,9
4,7,5
4,56,6
4,36,9
5,51,7
5,59,10
5,74,9
5,12,9
6,17,7
6,15,5
6,35,7
6,58,10
7,56,7
7,27,6
8,50,9
8,15,9
8,10,5
8,57,7
9,18,5
9,64,5
9,31,6
11,23,9
11,63,6
11,78,6
11,72,10
13,7,8
14,53,6
14,76,8
14,22,6
14,63,7
16,25,7
16,39,6
16,42,10
16,30,8
17,58,7
18,31,10
18,73,5
19,31,8
19,30,6
19,39,9
19,55,8
20,49,9
21,79,5
22,72,9
23,63,6
23,52,5
24,54,10
24,78,5
24,52,5
25,16,5
25,32,5
26,70,6
26,29,6
26,41,10
26,67,8
27,56,10
27,33,9
27,57,6
28,44,10
28,32,8
28,54,7
28,40,8
29,67,9
34,47,10
34,68,5
34,48,6
35,45,7
35,6,7
35,38,7
37,51,6
37,67,10
37,41,5
37,33,8
38,64,6
40,47,10
40,48,6
41,26,9
42,39,8
43,60,7
43,65,6
46,54,6
46,78,7
46,44,7
49,33,9
50,4,9
52,63,9
53,22,9
55,76,6
58,10,9
58,15,8
60,71,8
61,73,5
61,53,6
62,57,7
65,43,8
66,21,6
66,39,9
66,48,9
68,48,8
69,30,8
69,77,9
69,54,8
70,29,10
70,74,8
75,64,8
75,71,10
76,77,10
77,76,8
